Neighborhood	Code	Description
38.12	4021	"VILLAGES OF CYPRESS LAKES SEC 8,19,23,27,32,33                                                                          "
38.13	4021	VILLAGES OF CYPRESS LAKE SEC 5                                                                                          
38.14	4021	"CYPRESS LANDING EAST SEC 1,4,5-7,9,10                                                                                   "
38.15	4021	"CYPRESS LANDING EAST SEC 2,3,8                                                                                          "
38.16	4021	"CYPRESS LANDING PARK SEC 1,5                                                                                            "
38.17	4021	CYPRESS LANDING PARK SEC 2-4                                                                                            
38.18	4021	VILLAGES OF CYPRESSLAKES SEC 18                                                                                         
38.19	4021	VILLAGES OF CYPRESS LAKES SEC 29                                                                                        
38.2	4021	FAIR MEADOWS                                                                                                            
38.3	4021	"CYPRESS LANDING EAST SEC 11, 12                                                                                         "
39	4135	MIXED RESIDENTIAL                                                                                                       
39.02	4021	CYPRESS MILL 1                                                                                                          
39.03	4103	SANDY HILL U/R                                                                                                          
39.04	4117	CYPRESS WOOD ESTATES/OTHERS                                                                                             
39.05	4135	CORRAL EST U/R                                                                                                          
39.06	4021	"CYPRESS MILL 2,3                                                                                                        "
39.07	4103	"NORTHWEST MANOR, OAK CLUSTER                                                                                            "
39.1	4021	FOREST CREEK FARMS                                                                                                      
39.11	4142	RIVERSTONE RANCH                                                                                                        
39.12	4135	K-Z RD AREA M/R                                                                                                         
40	4011	TOWER OAKS MEADOWS SEC. 1-4                                                                                             
40.01	4021	"CYPRESS MILL ESTATES 1,2,3 & 4                                                                                          "
40.02	4021	CYPRESS MILL PARK SEC 1-5                                                                                               
41	4137	MIXED RESIDENTIAL                                                                                                       
41.02	4078	CHAMPIONS CREEK                                                                                                         
41.03	4010	CHAMPION CREEK ESTATES P/H                                                                                              
41.04	4010	"CHAMPIONS COURT 1,2                                                                                                     "
42	4114	"FARFLD GRDN GRO #4 1ST,2ND R/P                                                                                          "
42.01	4115	LAKES OF FAIRFIELD 1-3                                                                                                  
43	4135	MIXED RESIDENTIAL                                                                                                       
43.01	4144	ENFIELD COURTS CONDO                                                                                                    
44	4136	MIXED RESIDENTIAL                                                                                                       
44.01	4117	VALENCIA PINES                                                                                                          
44.1	4117	ROCK CREEK SEC 9                                                                                                        
44.11	4117	"ROCK CREEK SEC 6,12                                                                                                     "
45	4117	CYPRESS VILLAGE                                                                                                         
45.01	4117	"ROCK CREEK SEC 1-4,10                                                                                                   "
45.02	4117	ROCK CREEK SEC 5                                                                                                        
45.03	4158	BLACKHORSE RANCH SEC 1                                                                                                  
45.04	4158	BLACKHORSE RANCH SEC 2                                                                                                  
45.05	4158	CYPRESS CREEK RANCH 1                                                                                                   
45.06	4158	"BLACK HORSE RANCH SEC 1,4                                                                                               "
45.07	4158	"BLACK HORSE RANCH SEC 2,5,6                                                                                             "
45.08	4158	BLACK HORSE RANCH SEC 3                                                                                                 
45.09	4158	"CYPRESS CREEK LAKES SEC. 1,2,3                                                                                          "
45.1	4158	"CYPRESS CREEK LAKES SEC 4,6,9                                                                                           "
45.11	4158	"CYPRESS CREEK LAKES SEC 5,7,8,20                                                                                        "
45.12	4158	STONERIDGE                                                                                                              
45.13	4158	"CYPRESS CREEK LAKES SEC 17,18,19                                                                                        "
45.14	4158	"CYPRESS CREEK LAKES SEC 13, 16                                                                                          "
45.15	4158	"CYPRESS CREEK LAKES SEC 11, 14                                                                                          "
45.16	4158	"CYPRESS CREEK LAKES SEC 10,12,15                                                                                        "
45.17	4158	CYPRESS CREEK LAKES SEC 21                                                                                              
45.18	4158	"CYPRESS CREEK LAKES SEC 24, 26 & R/P                                                                                    "
45.19	4158	CYPRESS CREEK LAKES SEC 23                                                                                              
45.2	4117	DRY CREEK RANCH                                                                                                         
45.21	4158	CYPRESS CREEK LAKES SEC 25                                                                                              
46	4103	EDWORTHY FARM                                                                                                           
46.01	4114	FAIRFIELD INWOOD PARK 1-3 & R/P 1                                                                                       
46.02	4114	FAIRFIELD GARDEN GROVE #1                                                                                               
46.03	4115	"FAIRFIELD CHAPPEL RIDGE #1,2                                                                                            "
46.05	4114	FAIRFIELD GARDEN GROVE #2                                                                                               
46.06	4115	GARDEN GROVE SEC. 3 & 4                                                                                                 
46.07	4115	FAIRFIELD CHAPPELL RIDGE #4                                                                                             
46.09	4114	"FAIRFIELD INWOOD PARK SEC 4, 6-8                                                                                        "
47	4125	CYPRESS FIELDS                                                                                                          
47.02	4115	"TRAILS OF FAIRFIELD 1,2                                                                                                 "
47.03	4115	"TRAIL OF FAIRFIELD 3, 13                                                                                                "
47.04	4115	TRAILS OF FAIRFIELD SEC 5                                                                                               
47.05	4115	TRAILS OF FAIRFIELD SEC 4                                                                                               
47.06	4115	"F/F VLG WST1,2,4,5,7-10,14-17                                                                                           "
47.07	4115	TRAILS OF FAIRFIELD #6                                                                                                  
47.08	4115	TRAILS OF FAIRFIELD SEC 7                                                                                               
47.09	4115	FAIRFIELD VILLAGE WEST #3                                                                                               
48	4125	CYPRESS COUNTRY SOUTH                                                                                                   
48.01	4115	"FAIRFIELD VILLAGE WEST 6,11,12                                                                                          "
48.02	4115	"FAIRFIELD VILLAGE SOUTH SEC 2,6,8                                                                                       "
48.03	4115	"FAIRFIELD VILLAGE SOUTH SEC 3,7,9,12-14                                                                                 "
48.04	4115	FAIRFIELD VILLAGE SOUTH SEC 4                                                                                           
48.05	4115	"FAIRFIELD VILLAGE SOUTH SEC 5,10                                                                                        "
48.06	4115	"FAIRFIELD VILLAGE NORTH SEC 1,4,9,14,16,17                                                                              "
48.07	4115	"FAIRFIELD VILLAGE NORTH SEC 2,3                                                                                         "
48.08	4115	FAIRFIELD VILLAGE WEST SEC 12                                                                                           
48.09	4115	FAIRFIELD VILLAGE NORTH PT SEC 7                                                                                        
48.1	4115	"FAIRFIELD VILLAGE NORTH SEC 6, PT7                                                                                      "
48.11	4115	"FAIRFIELD VILLAGE NORTH SEC 5, 12                                                                                       "
48.12	4115	FAIRFIELD VILLAGE SOUTH SEC 11                                                                                          
48.14	4115	"FAIRFIELD VILLAGE NORTH SEC 10, 11                                                                                      "
48.15	4115	FAIRFIELD VILLAGE NORTH SEC 8 SM LTS                                                                                    
48.16	4115	FAIRFIELD VILLAGE NORTH SEC 8 LG LTS                                                                                    
48.17	4115	"FAIRFIELD VILLAGE NORTH SEC 13, 18                                                                                      "
48.18	4115	FAIRFIELD VILLAGE NORTH SEC 15                                                                                          
48.19	4115	"FAIRFIELD VILLAGE SOUTH SEC 15,16,17                                                                                    "
49	4125	WAYNEWOOD PLACE                                                                                                         
49.02	4117	SADDLE RIDGE ESTATES                                                                                                    
49.03	4117	LAKES OF FAIRHAVEN SEC 1                                                                                                
49.04	4117	"LAKES OF FAIRHAVEN SEC 2,3,4,5                                                                                          "
49.05	4117	FAIRHAVEN ESTATES                                                                                                       
50.01	4021	"CYPRESS POINT 1,2                                                                                                       "
50.03	4021	CYPRESS POINT 4-8                                                                                                       
50.2	4115	"FALLS AT DRY CREEK SEC 1 PT, 2                                                                                          "
50.21	4115	FALLS AT DRY CREEK SEC 1 SM LTS                                                                                         
50.5	4115	HIDDEN ARBOR (SM LOTS)                                                                                                  
50.51	4115	HIDDEN ARBOR (LG LOTS)                                                                                                  
51	4022	WESTERN TRAILS                                                                                                          
51.01	4021	"CYPRESS POINT LAKE ESTS 1,3&5                                                                                           "
51.02	4117	"CYPRESS POINT LAKE ESTATES 2,4                                                                                          "
51.03	4117	"SYDNEY HARBOUR SEC. 1,3,4 WATER ACCESS LOTS                                                                             "
51.04	4117	"SYDNEY HARBOUR SEC 2,4 WATER ACCESS- LG LTS                                                                             "
51.05	4117	"SYDNEY HARBOUR SEC 1,3,4                                                                                                "
51.09	4034	WALDON ESTATES                                                                                                          
51.1	4162	SKINNER ROAD AIRPORT COM                                                                                                
51.11	4162	FLYING ACRES                                                                                                            
52	4103	CYPRESS BEND 1-3/CYPRESS MDWS                                                                                           
52.01	4103	HAMBLEN R/P                                                                                                             
53	4022	FAIRWOOD SEC. 1                                                                                                         
53.01	4020	FAIRWOOD SEC. 4                                                                                                         
53.03	4020	"FAIRWOOD SEC 1,2,3,5,6                                                                                                  "
54	4070	LAKEWOOD PINES U/R                                                                                                      
55	4070	LAKEWOOD FOREST SEC. 10                                                                                                 
56	4090	QUAIL FOREST SEC. 1                                                                                                     
56.01	4006	LAKEWOOD GLEN TRAILS                                                                                                    
56.02	4057	QUAIL PARK SUB #1                                                                                                       
56.03	4006	"LAKEWOOD GLEN TRAILS 2,3,4                                                                                              "
56.05	4006	"ANDERSON WOODS 1,2,3                                                                                                    "
57	4045	CYPRESS OAKS                                                                                                            
58	4045	CYPRESS PASS ESTATES                                                                                                    
58.01	4072	YAUPON RANCH SEC 1                                                                                                      
58.02	4072	YAUPON RANCH SEC 3                                                                                                      
58.03	4072	YAUPON RANCH SEC 4                                                                                                      
58.04	4072	"YAUPON PLACE SEC 1,2                                                                                                    "
58.05	4072	"YAUPON RANCH SEC 5,7                                                                                                    "
58.06	4072	YAUPON RANCH SEC 6                                                                                                      
59	4045	"ENCHANTED VALLEY 1,2,PT3,#4R/P                                                                                          "
60	4045	ECHANTED VALLEY ESTATES                                                                                                 
60.01	4045	WOODSIDE GREEN                                                                                                          
61	4103	CYPRESS POINT ESTATES                                                                                                   
